#{"t_start": 1684990955.8267813, "env_id": "donkey-waveshare-v0"}
r,l,t
128.249552,199,1205.282712
24.769463,57,1213.570263
54.313961,115,1216.627117
43.627379,87,1219.272376
18.012985,54,1227.334946
41.945467,103,1230.194629
86.131855,153,1239.897969
43.454904,101,1242.817075
29.585379,83,1245.392385
24.836477,72,1253.766048
91.364174,185,1258.023522
63.287942,214,1268.750317
38.354935,113,1277.804199
149.995478,245,1283.005975
114.720441,215,1294.312804
16.11818,52,1302.8106
44.221043,99,1305.651992
88.627848,157,1315.378981
141.601966,256,1327.332137
141.786086,201,1331.794814
23.553793,55,1340.935326
149.225746,290,1353.423322
104.014727,222,1364.955719
118.465335,256,1376.283334
130.942356,256,1387.740743
85.391557,281,1400.646001
45.969341,231,1412.72134
47.870248,461,1427.346194
9.868657,51,1435.28374
47.723333,256,1446.508025
57.152708,209,1451.241843
16.460405,559,1479.499349
55.696073,577,1502.070251
38.788893,191,1512.656372
37.543041,221,1517.467719
10.874437,119,1526.736437
60.477078,619,1550.580638
6.790039,77,1559.188584
30.354536,172,1563.207124
29.521373,235,1574.334662
81.61743,349,1594.400936
33.52067,136,1597.819793
26.066633,120,1607.005265
60.729569,232,1611.970699
5.862556,24,1619.492901
56.635461,161,1623.337135
33.61348,275,1634.999896
26.736452,76,1645.093682
67.975934,265,1657.136981
114.74545,247,1668.785786
87.481524,405,1682.585943
30.265043,107,1692.967455
193.140401,1301,1748.764112
140.61494,483,1764.033943
133.625866,264,1782.010996
79.276622,256,1793.503527
123.818158,256,1805.251532
137.900471,256,1816.952266
58.009276,256,1829.958963
58.196477,512,1852.708538
162.038615,512,1875.423918
277.693303,1024,1919.449692
49.091881,256,1931.266015
47.261943,256,1943.10961
36.703105,256,1955.060323
51.361857,256,1967.127637
45.123901,283,1979.578094
62.061593,525,2002.862309
38.007703,234,2014.321504
37.457982,238,2026.045329
51.681917,256,2037.979429
198.161005,768,2071.538792
101.534269,256,2083.471659
93.861445,512,2106.123028
95.318506,1024,2150.740332
42.225882,124,2154.019399
44.363222,300,2166.480369
30.26223,88,2175.454344
90.431067,512,2198.541718
121.992762,459,2213.711481
21.495391,53,2222.102887
