Step,画像,VAE32,Pooling,VAE64
79360,84.13354492,110.8562927,39.53797913,117.6342621
79616,85.13819122,111.7791138,39.91378784,115.1682816
79872,85.45336151,111.8496399,40.89690781,111.5084534
80128,84.68841553,112.3125992,41.59273911,112.2567291
80384,84.4930191,113.0488358,40.88589859,108.9003143
80640,85.47740173,113.845993,41.16334534,109.4349899
80896,87.17498016,115.1924362,40.69456482,107.6532288
81152,88.30261993,115.636734,41.04318237,108.0766144
81408,87.95016479,116.7140045,41.49063873,108.2331696
81664,87.18695068,117.0534821,41.80471802,109.3973694
81920,87.91016388,118.9036179,41.1457901,108.8013611
82176,87.31915283,118.4054489,40.9565239,111.0821152
82432,87.12724304,119.7935944,41.89902496,109.7651215
82688,86.59884644,120.5396957,41.76088715,111.605278
82944,87.47769928,121.9828186,40.39404297,112.4930878
83200,85.98571777,121.9670792,42.11712265,112.4945526
83456,86.23501587,122.0685577,41.90323639,113.0669937
83712,85.81403351,120.1747894,42.09443665,112.8972549
83968,86.73104095,120.9376678,42.9048996,113.223999
84224,87.08998108,121.0962753,43.63254547,112.4645309
84480,85.82235718,122.5849991,44.68995285,112.0619278
84736,86.75028992,124.6279297,44.97498703,112.0047226
84992,88.90190125,124.3855362,45.01166916,114.635643
85248,88.96335602,124.8549957,44.66899872,114.635643
85504,88.61837769,126.1884384,46.2287178,119.292511
85760,89.47480011,127.5434799,45.85274887,119.1867142
86016,88.85048676,126.1250305,45.84112549,118.6567154
86272,88.35523224,125.1788025,46.14857101,118.7994385
86528,89.70046234,125.848732,45.47172928,121.3000641
86784,89.03048706,125.0786209,43.39810562,120.3258514
87040,89.77616882,124.2276154,42.98360825,118.0984879
87296,90.57307434,124.3910294,43.12183762,118.0984879
87552,89.65133667,123.9264984,41.85578537,122.4399338
87808,91.42230988,122.1689301,41.97612762,123.5196457
88064,92.15786743,121.2567825,40.88551712,124.3548584
88320,91.83570099,120.0096359,39.75836945,123.9784012
88576,93.96112823,118.8820419,38.98306274,123.7612228
88832,94.65825653,119.0619049,37.80727386,123.6294708
89088,97.12011719,119.8934631,37.91250229,120.6015015
89344,96.7725296,117.3313217,36.48171997,120.3296051
89600,99.30666351,117.1120453,35.89327621,121.1812363
89856,100.3109055,116.4120483,34.7841568,122.905983
90112,99.7086792,115.9141998,35.70835114,124.2987747
90368,101.3669586,116.0308228,37.68583298,125.5495605
90624,102.1147614,115.2421112,38.74513245,126.6191559
90880,100.8671799,114.8490829,37.57496643,127.1325989
91136,100.111557,115.221962,37.07181931,129.1427307
91392,100.0293655,114.5039291,36.98112488,129.1333008
91648,99.87284851,111.3193588,37.91242218,130.5279236
91904,100.9440002,109.5663147,38.82924271,129.946106
92160,101.7136383,107.815361,39.62859344,129.0313721
92416,103.7249222,107.8188858,38.43550491,131.4028778
92672,103.243927,108.6873093,36.94451523,131.4233398
92928,103.9089203,105.944191,37.12273788,131.6055603
93184,106.7343903,104.0350647,36.99894714,130.276947
93440,107.4425583,104.4038162,37.23097992,127.1352463
93696,107.062851,105.0502319,37.29831696,126.4508743
93952,108.0297318,103.208786,37.41429901,126.4508743
94208,107.6397476,102.4744797,36.65984344,128.6636353
94464,106.7826309,101.9860916,36.24435806,128.843689
94720,105.2278137,100.1022797,35.78950119,128.2315521
94976,103.633522,100.2666626,36.71720886,128.5626068
95232,103.6065445,101.759758,35.52816391,127.1891937
